date,total,daily,rolling_day_avg,first_dose,second_dose,fully_vaccinated,pfizer_biontech,moderna,astrazeneca,janssen
2021-Mar-24,732678,23330,13299,529984,202694,202694,559133,24702,148843,0
2021-Mar-25,760168,27490,15131,548945,211223,211223,576519,26620,157029,0
2021-Mar-26,786569,26401,16863,567023,219546,219546,594655,27746,164168,0
2021-Mar-27,802502,15933,18079,577641,224861,224861,606187,28744,167571,0
2021-Mar-28,806541,4039,18075,580857,225684,225684,608227,28895,169419,0
2021-Mar-29,819676,13135,18461,590688,228988,228988,614320,30203,175153,0
2021-Mar-30,840561,20885,18745,603802,236759,236759,627026,31804,181731,0
2021-Mar-31,865460,24899,18969,619003,246457,246457,642932,33738,188790,0
2021-Apr-01,893375,27915,19030,636963,256412,256412,661017,36117,196241,0
2021-Apr-02,923878,30503,19616,655292,268586,268586,683069,39010,201799,0
2021-Apr-03,932324,8446,18546,660800,271524,271524,688787,40236,203301,0
2021-Apr-04,936087,3763,18507,663411,272676,272676,691475,40342,204270,0
2021-Apr-05,940883,4796,17315,667182,273701,273701,694471,40459,205953,0
2021-Apr-06,961887,21004,17332,679844,282043,282043,707074,42315,212498,0
2021-Apr-07,989247,27360,17684,697368,291879,291879,707074,42315,212498,0
2021-Apr-08,1018264,29017,17841,716636,301628,301628,746427,46510,225327,0
2021-Apr-09,1045919,27655,17434,735997,309922,309922,767537,47490,230892,0
2021-Apr-10,1058394,12475,18010,745363,313031,313031,776568,48116,233710,0
2021-Apr-11,1063666,5272,18226,749450,314216,314216,780018,48338,235310,0
2021-Apr-12,1076216,12550,19333,758763,317453,317453,788263,48589,239364,0
2021-Apr-13,1094964,18748,19011,769721,325243,325243,806328,49113,239523,0
2021-Apr-14,1121003,26039,18822,789526,331477,331477,831053,49831,240119,0
2021-Apr-15,1155599,34596,19619,814470,341129,341129,862616,50827,242156,0
2021-Apr-16,1188354,32755,20348,838644,349710,349710,892535,51973,243846,0
2021-Apr-17,1204063,15709,20810,852189,351874,351874,907692,52205,244166,0
2021-Apr-18,1208459,4396,20685,855512,352947,352947,911339,52667,244443,0
2021-Apr-19,1219487,11028,20467,863958,355529,355529,919689,53290,246508,0
2021-Apr-20,1240965,21478,20857,878823,362142,362142,935703,54052,251210,0
2021-Apr-21,1275828,34863,22118,904774,371054,371054,958856,55630,261342,0
2021-Apr-22,1317165,41337,23081,934980,382185,382185,984592,58516,274057,0
2021-Apr-23,1359921,42756,24510,966611,393310,393310,1012333,62815,284773,0
2021-Apr-24,1385753,25832,25956,987681,398072,398072,1026452,64327,294974,0
2021-Apr-25,1398061,12308,27086,998134,399927,399927,1030101,65747,302213,0
2021-Apr-26,1417942,19881,28351,1014640,403302,403302,1038800,66618,312524,0
2021-Apr-27,1452434,34492,30210,1041284,411150,411150,1057982,69508,324944,0
2021-Apr-28,1487043,34609,30174,1067378,419665,419665,1077661,72601,336781,0
2021-Apr-29,1527844,40801,30097,1097742,430102,430102,1103319,74942,349583,0
2021-Apr-30,1572779,44935,30408,1130958,441821,441821,1130988,77798,363993,0
2021-May-01,1591888,19109,29448,1146562,445326,445326,1138738,79300,373850,0
2021-May-02,1604644,12756,29512,1159083,445561,445561,1139453,79762,385429,0
2021-May-03,1621870,17226,29133,1174292,447578,447578,1143240,80938,397692,0
2021-May-04,1655866,33996,29062,1201373,454493,454493,1155540,82513,417813,0
2021-May-05,1700538,44672,30499,1233067,467471,467471,1179638,84758,436142,0
2021-May-06,1746912,46374,31295,1267167,479745,479826,1204094,86730,456007,81
2021-May-07,1799190,52278,32344,1305178,494012,494149,1233160,88499,477394,137
2021-May-08,1827610,28420,33675,1327821,499789,499929,1243762,89132,494576,140
2021-May-09,1848747,21137,34872,1347561,501186,501351,1247493,89399,511690,165
2021-May-10,1882635,33888,37252,1376583,506052,506447,1259913,89916,532411,395
2021-May-11,1922913,40278,38150,1408105,514808,515358,1278103,90956,553304,550
2021-May-12,1952954,30041,36059,1424003,526836,527843,1298274,93559,559116,606
2021-May-13,1983466,30512,33793,1440082,539146,540631,1318763,96236,564990,668
2021-May-14,2014453,30987,30751,1456342,551744,553729,1339576,98991,570925,736
2021-May-15,2045925,31472,31187,1472785,564635,567145,1360718,101824,576923,812
2021-May-16,2077889,31964,32734,1489415,577828,580885,1382193,104738,582983,895
2021-May-17,2110352,32463,32531,1506232,591330,594958,1404007,107736,589108,987
2021-May-18,2143322,32970,31487,1523239,605146,609373,1426165,110819,595296,1088
2021-May-19,2176808,33486,31979,1540437,619286,624136,1448673,113991,601550,1199
2021-May-20,2210816,34008,32478,1557831,633756,639257,1471537,117254,607869,1322
2021-May-21,2245356,34540,32986,1575420,648564,654745,1494761,120610,614255,1458
2021-May-22,2280435,35079,33501,1593208,663718,670607,1518351,124061,620708,1607
2021-May-23,2316063,35628,34024,1611197,679226,686854,1542314,127612,627229,1772
2021-May-24,2352247,36184,34556,1629389,695097,703495,1566656,131264,633818,1953
2021-May-25,2388996,36749,35096,1647786,711338,720539,1591381,135021,640476,2153
2021-May-26,2426320,37324,35644,1666392,727959,737995,1616496,138886,647205,2374
2021-May-27,2464226,37906,36201,1685207,744968,755875,1642008,142861,654004,2617
2021-May-28,2502725,38499,36767,1704235,762374,774188,1667923,146950,660874,2885
2021-May-29,2541826,39101,37341,1723477,780188,792944,1694246,151155,667817,3181
2021-May-30,2581537,39711,37924,1742937,798417,812155,1720985,155481,674832,3506
2021-May-31,2621868,40331,38517,1762616,817073,831831,1748146,159931,681921,3865
2021-Jun-01,2662830,40962,39119,1782518,836164,851984,1775736,164509,689085,4261
2021-Jun-02,2704432,41602,39730,1802645,855701,872626,1803761,169217,696324,4698
2021-Jun-03,2746683,42251,40351,1822998,875695,893767,1832228,174060,703639,5179
